model,k,file,rows,RMSE,MAE
MF,50,outputs\valid_mf_k50.csv,13586,0.9192,0.7232
MF,20,outputs\valid_mf_k20.csv,13586,0.9196,0.7239
MF,10,outputs\valid_mf_k10.csv,13586,0.9236,0.7274
MF,100,outputs\valid_mf_k100.csv,13586,0.9239,0.7289
MF,5,outputs\valid_mf_k5.csv,13586,0.9257,0.7293
UserCF,50,outputs\valid_user_cf_k50 (1).csv,13586,1.0156,0.8053
UserCF,100,outputs\valid_user_cf_k100 (2).csv,13586,1.0177,0.8091
UserCF,20,outputs\valid_user_cf_k20 (1).csv,13586,1.0244,0.8111
UserCF,10,outputs\valid_user_cf_k10 (1).csv,13586,1.045,0.8263
UserCF,5,outputs\valid_user_cf_k5 (1).csv,13586,1.087,0.8571
