model,k,w_usercf,w_mf,RMSE,MAE,rows
Weighted_Ensemble,50,0.1,0.9,0.9183,0.7244,13586
Weighted_Ensemble,20,0.1,0.9,0.9188,0.7251,13586
Weighted_Ensemble,50,0.0,1.0,0.9192,0.7232,13586
Weighted_Ensemble,20,0.0,1.0,0.9196,0.7239,13586
Weighted_Ensemble,50,0.2,0.8,0.9199,0.7274,13586
Weighted_Ensemble,20,0.2,0.8,0.9207,0.7281,13586
Weighted_Ensemble,100,0.1,0.9,0.9224,0.7297,13586
Weighted_Ensemble,10,0.1,0.9,0.923,0.7288,13586
Weighted_Ensemble,100,0.2,0.8,0.9234,0.7323,13586
Weighted_Ensemble,10,0.0,1.0,0.9236,0.7274,13586
Weighted_Ensemble,100,0.0,1.0,0.9239,0.7289,13586
Weighted_Ensemble,50,0.3,0.7,0.9239,0.7318,13586
Weighted_Ensemble,20,0.3,0.7,0.9251,0.7329,13586
Weighted_Ensemble,10,0.2,0.8,0.9254,0.7324,13586
Weighted_Ensemble,5,0.1,0.9,0.9256,0.7306,13586
Weighted_Ensemble,5,0.0,1.0,0.9257,0.7293,13586
Weighted_Ensemble,100,0.3,0.7,0.9269,0.7365,13586
Weighted_Ensemble,5,0.2,0.8,0.9294,0.7347,13586
Weighted_Ensemble,50,0.4,0.6,0.9303,0.7378,13586
Weighted_Ensemble,10,0.3,0.7,0.9308,0.7378,13586
Weighted_Ensemble,20,0.4,0.6,0.9322,0.7392,13586
Weighted_Ensemble,100,0.4,0.6,0.9329,0.7422,13586
Weighted_Ensemble,5,0.3,0.7,0.937,0.7416,13586
Weighted_Ensemble,50,0.5,0.5,0.939,0.7453,13586
Weighted_Ensemble,10,0.4,0.6,0.9392,0.745,13586
Weighted_Ensemble,100,0.5,0.5,0.9414,0.7494,13586
Weighted_Ensemble,20,0.5,0.5,0.9418,0.747,13586
Weighted_Ensemble,5,0.4,0.6,0.9485,0.7513,13586
Weighted_Ensemble,50,0.6,0.4,0.9501,0.7542,13586
Weighted_Ensemble,10,0.5,0.5,0.9504,0.754,13586
Weighted_Ensemble,100,0.6,0.4,0.9522,0.7582,13586
Weighted_Ensemble,20,0.6,0.4,0.9538,0.7566,13586
Weighted_Ensemble,50,0.7,0.3,0.9634,0.7648,13586
Weighted_Ensemble,5,0.5,0.5,0.9635,0.7636,13586
Weighted_Ensemble,10,0.6,0.4,0.9643,0.7649,13586
Weighted_Ensemble,100,0.7,0.3,0.9654,0.7687,13586
Weighted_Ensemble,20,0.7,0.3,0.9682,0.7679,13586
Weighted_Ensemble,50,0.8,0.2,0.9788,0.7769,13586
Weighted_Ensemble,100,0.8,0.2,0.9808,0.7807,13586
Weighted_Ensemble,10,0.7,0.3,0.9809,0.7777,13586
Weighted_Ensemble,5,0.6,0.4,0.9821,0.7783,13586
Weighted_Ensemble,20,0.8,0.2,0.9849,0.7808,13586
Weighted_Ensemble,50,0.9,0.1,0.9962,0.7905,13586
Weighted_Ensemble,100,0.9,0.1,0.9982,0.7942,13586
Weighted_Ensemble,10,0.8,0.2,1.0,0.7924,13586
Weighted_Ensemble,20,0.9,0.1,1.0036,0.7953,13586
Weighted_Ensemble,5,0.7,0.3,1.0039,0.7956,13586
Weighted_Ensemble,50,1.0,0.0,1.0156,0.8053,13586
Weighted_Ensemble,100,1.0,0.0,1.0177,0.8091,13586
Weighted_Ensemble,10,0.9,0.1,1.0214,0.8088,13586
Weighted_Ensemble,20,1.0,0.0,1.0244,0.8111,13586
Weighted_Ensemble,5,0.8,0.2,1.0288,0.8149,13586
Weighted_Ensemble,10,1.0,0.0,1.045,0.8263,13586
Weighted_Ensemble,5,0.9,0.1,1.0566,0.8357,13586
Weighted_Ensemble,5,1.0,0.0,1.087,0.8571,13586
