model,usercf_k,mf_k,w_usercf,w_mf,RMSE,MAE,rows
AllPair_Weighted_Ensemble,20,50,0.1,0.9,0.9182,0.7242,13586
AllPair_Weighted_Ensemble,10,50,0.1,0.9,0.9183,0.7243,13586
AllPair_Weighted_Ensemble,50,50,0.1,0.9,0.9183,0.7244,13586
AllPair_Weighted_Ensemble,5,50,0.1,0.9,0.9186,0.7245,13586
AllPair_Weighted_Ensemble,100,50,0.1,0.9,0.9187,0.725,13586
AllPair_Weighted_Ensemble,20,20,0.1,0.9,0.9188,0.7251,13586
AllPair_Weighted_Ensemble,10,20,0.1,0.9,0.9189,0.7251,13586
AllPair_Weighted_Ensemble,50,20,0.1,0.9,0.919,0.7253,13586
AllPair_Weighted_Ensemble,5,50,0.0,1.0,0.9192,0.7232,13586
AllPair_Weighted_Ensemble,10,50,0.0,1.0,0.9192,0.7232,13586
AllPair_Weighted_Ensemble,20,50,0.0,1.0,0.9192,0.7232,13586
AllPair_Weighted_Ensemble,50,50,0.0,1.0,0.9192,0.7232,13586
AllPair_Weighted_Ensemble,100,50,0.0,1.0,0.9192,0.7232,13586
AllPair_Weighted_Ensemble,5,20,0.1,0.9,0.9193,0.7253,13586
AllPair_Weighted_Ensemble,100,20,0.1,0.9,0.9194,0.7258,13586
AllPair_Weighted_Ensemble,5,20,0.0,1.0,0.9196,0.7239,13586
AllPair_Weighted_Ensemble,10,20,0.0,1.0,0.9196,0.7239,13586
AllPair_Weighted_Ensemble,20,20,0.0,1.0,0.9196,0.7239,13586
AllPair_Weighted_Ensemble,50,20,0.0,1.0,0.9196,0.7239,13586
AllPair_Weighted_Ensemble,100,20,0.0,1.0,0.9196,0.7239,13586
AllPair_Weighted_Ensemble,20,50,0.2,0.8,0.9198,0.7271,13586
AllPair_Weighted_Ensemble,50,50,0.2,0.8,0.9199,0.7274,13586
AllPair_Weighted_Ensemble,10,50,0.2,0.8,0.9205,0.7277,13586
AllPair_Weighted_Ensemble,100,50,0.2,0.8,0.9206,0.7286,13586
AllPair_Weighted_Ensemble,20,20,0.2,0.8,0.9207,0.7281,13586
AllPair_Weighted_Ensemble,50,20,0.2,0.8,0.9208,0.7283,13586
AllPair_Weighted_Ensemble,10,20,0.2,0.8,0.9214,0.7285,13586
AllPair_Weighted_Ensemble,100,20,0.2,0.8,0.9215,0.7294,13586
AllPair_Weighted_Ensemble,20,100,0.1,0.9,0.9219,0.7289,13586
AllPair_Weighted_Ensemble,10,100,0.1,0.9,0.922,0.729,13586
AllPair_Weighted_Ensemble,50,100,0.1,0.9,0.922,0.7292,13586
AllPair_Weighted_Ensemble,5,50,0.2,0.8,0.9223,0.729,13586
AllPair_Weighted_Ensemble,5,100,0.1,0.9,0.9223,0.7291,13586
AllPair_Weighted_Ensemble,100,100,0.1,0.9,0.9224,0.7297,13586
AllPair_Weighted_Ensemble,20,100,0.2,0.8,0.9227,0.7309,13586
AllPair_Weighted_Ensemble,50,100,0.2,0.8,0.9227,0.7312,13586
AllPair_Weighted_Ensemble,20,10,0.1,0.9,0.9229,0.7287,13586
AllPair_Weighted_Ensemble,10,10,0.1,0.9,0.923,0.7288,13586
AllPair_Weighted_Ensemble,5,20,0.2,0.8,0.9231,0.7296,13586
AllPair_Weighted_Ensemble,50,10,0.1,0.9,0.9232,0.729,13586
AllPair_Weighted_Ensemble,10,100,0.2,0.8,0.9233,0.7313,13586
AllPair_Weighted_Ensemble,5,10,0.1,0.9,0.9234,0.7291,13586
AllPair_Weighted_Ensemble,100,100,0.2,0.8,0.9234,0.7323,13586
AllPair_Weighted_Ensemble,5,10,0.0,1.0,0.9236,0.7274,13586
AllPair_Weighted_Ensemble,10,10,0.0,1.0,0.9236,0.7274,13586
AllPair_Weighted_Ensemble,20,10,0.0,1.0,0.9236,0.7274,13586
AllPair_Weighted_Ensemble,50,10,0.0,1.0,0.9236,0.7274,13586
AllPair_Weighted_Ensemble,100,10,0.0,1.0,0.9236,0.7274,13586
AllPair_Weighted_Ensemble,100,10,0.1,0.9,0.9237,0.7297,13586
AllPair_Weighted_Ensemble,5,100,0.0,1.0,0.9239,0.7289,13586
AllPair_Weighted_Ensemble,10,100,0.0,1.0,0.9239,0.7289,13586
AllPair_Weighted_Ensemble,20,100,0.0,1.0,0.9239,0.7289,13586
