model,group,users,avg_rating_count,RMSE,MAE,rows
Weighted_same_k_best,cold,293,20.55,1.0178,0.8078,870
Weighted_all_pair_best,cold,293,20.55,1.0184,0.8091,870
MF_best_k50,cold,293,20.55,1.0217,0.808,870
UserCF_best_k50,cold,293,20.55,1.0626,0.8471,870
TrueBagging_UserCF_k50,cold,293,20.55,1.0663,0.8544,870
BoostingStyle_UserCF,cold,293,20.55,1.0666,0.86,870
Weighted_all_pair_best,medium,308,67.98,0.9548,0.757,2686
Weighted_same_k_best,medium,308,67.98,0.9549,0.7569,2686
MF_best_k50,medium,308,67.98,0.9581,0.7577,2686
UserCF_best_k50,medium,308,67.98,1.018,0.8142,2686
TrueBagging_UserCF_k50,medium,308,67.98,1.0207,0.8171,2686
BoostingStyle_UserCF,medium,308,67.98,1.0233,0.8215,2686
Weighted_all_pair_best,active,314,255.97,0.8988,0.7081,10030
MF_best_k50,active,314,255.97,0.8989,0.7066,10030
Weighted_same_k_best,active,314,255.97,0.899,0.7085,10030
UserCF_best_k50,active,314,255.97,1.0108,0.7993,10030
BoostingStyle_UserCF,active,314,255.97,1.0116,0.8037,10030
TrueBagging_UserCF_k50,active,314,255.97,1.0167,0.8066,10030
Weighted_all_pair_best,all,915,203.73,0.9182,0.7242,13586
Weighted_same_k_best,all,915,203.73,0.9183,0.7244,13586
MF_best_k50,all,915,203.73,0.9192,0.7232,13586
UserCF_best_k50,all,915,203.73,1.0156,0.8053,13586
BoostingStyle_UserCF,all,915,203.73,1.0175,0.8108,13586
TrueBagging_UserCF_k50,all,915,203.73,1.0208,0.8117,13586
