model,usercf_k,mf_k,w_usercf,w_mf,RMSE,MAE,rows
AllPair_Weighted_Ensemble,50,20,0.1,0.9,0.919,0.7253,13586
AllPair_Weighted_Ensemble,50,20,0.0,1.0,0.9196,0.7239,13586
AllPair_Weighted_Ensemble,50,20,0.2,0.8,0.9208,0.7283,13586
AllPair_Weighted_Ensemble,50,20,0.3,0.7,0.9249,0.7329,13586
AllPair_Weighted_Ensemble,50,20,0.4,0.6,0.9314,0.7389,13586
AllPair_Weighted_Ensemble,50,20,0.5,0.5,0.9401,0.7462,13586
AllPair_Weighted_Ensemble,50,20,0.6,0.4,0.9511,0.7551,13586
AllPair_Weighted_Ensemble,50,20,0.7,0.3,0.9642,0.7655,13586
AllPair_Weighted_Ensemble,50,20,0.8,0.2,0.9794,0.7774,13586
AllPair_Weighted_Ensemble,50,20,0.9,0.1,0.9966,0.7907,13586
AllPair_Weighted_Ensemble,50,20,1.0,0.0,1.0156,0.8053,13586
