model,RMSE,MAE,Coverage,Serendipity,Novelty,Diversity
MF k=5,0.9257,0.7293,0.4952,0.9111,2.6915,0.7247
MF k=10,0.9236,0.7274,0.4964,0.9118,2.6972,0.7238
MF k=20,0.9196,0.7239,0.4958,0.9121,2.6973,0.7235
MF k=50,0.9192,0.7232,0.5059,0.9142,2.707,0.7252
MF k=100,0.9239,0.7289,0.5089,0.9129,2.7102,0.7228
UserCF k=5,1.087,0.8571,0.5244,0.9163,2.7638,0.7237
UserCF k=10,1.045,0.8263,0.5054,0.9169,2.7324,0.7225
UserCF k=20,1.0244,0.8111,0.4899,0.9154,2.6965,0.7228
UserCF k=50,1.0156,0.8053,0.481,0.9122,2.6571,0.7255
UserCF k=100,1.0177,0.8091,0.4845,0.91,2.6568,0.7269
W.Ens same-k,0.9183,0.7244,0.4994,0.914,2.699,0.7248
W.Ens all-pair,0.9182,0.7242,0.5012,0.9138,2.702,0.7249
Boosting UCF,1.0175,0.8108,0.4893,0.9129,2.6776,0.7255
Bagging UCF k=50,1.0208,0.8117,0.4869,0.9144,2.6756,0.7249
